NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1122,세종특별자치시  도담동,660,0660,0000,세종한신휴시티,24.026,202408,27,"8,200",7,개인,개인,2014,보듬3로 8-20,-,중개거래,세종
1123,대전광역시 유성구 봉명동,535-6,0535,0006,현대리조텔,46.41,202408,27,"3,300",12,개인,개인,1992,대학로 27,-,중개거래,대전 유성구
1124,광주광역시 광산구 송정동,845-10,0845,0010,송정역 한국아델리움 더 씨티,49.2109,202408,27,"11,682",8,법인,법인,2021,송정로15번길 27,-,직거래,-
1125,광주광역시 광산구 송정동,845-10,0845,0010,송정역 한국아델리움 더 씨티,49.2109,202408,27,"11,682",7,법인,법인,2021,송정로15번길 27,-,직거래,-
1126,광주광역시 광산구 송정동,845-10,0845,0010,송정역 한국아델리움 더 씨티,49.2109,202408,27,"11,682",6,법인,법인,2021,송정로15번길 27,-,직거래,-
1127,광주광역시 광산구 송정동,845-10,0845,0010,송정역 한국아델리움 더 씨티,49.2109,202408,27,"11,682",6,법인,법인,2021,송정로15번길 27,-,직거래,-
1128,광주광역시 광산구 송정동,845-10,0845,0010,송정역 한국아델리움 더 씨티,49.2109,202408,27,"11,682",6,법인,법인,2021,송정로15번길 27,-,직거래,-
1129,전북특별자치도 익산시 신동,785-23,0785,0023,아이스토리,23.32,202408,26,"12,800",6,개인,개인,2020,20,-,직거래,-
1130,서울특별시 용산구 원효로3가,51-37,0051,0037,e테크밸리,38.12,202408,26,"24,500",10,개인,개인,2003,원효로 128,-,중개거래,서울 용산구
1131,서울특별시 광진구 화양동,174,0174,0000,건대 트레비앙 오피스텔,18.664,202408,26,"31,000",15,법인,개인,2023,광나루로 374,-,중개거래,경기 성남시 분당구
1132,서울특별시 서대문구 대현동,27-27,0027,0027,(27-27),25.0579,202408,26,"40,000",14,개인,개인,2023,신촌역로 20,-,중개거래,서울 서대문구
1133,서울특별시 서대문구 홍은동,168-2,0168,0002,진성위메이드,39.43,202408,26,"37,500",3,개인,개인,2020,통일로 545,-,직거래,-
1134,서울특별시 마포구 도화동,559,0559,0000,마포트라팰리스,83.87,202408,26,"92,000",20,개인,개인,2006,마포대로 53,-,중개거래,서울 마포구
1135,서울특별시 마포구 염리동,164-4,0164,0004,삼부골든타워,32.495,202408,26,"30,000",9,개인,개인,2003,독막로 295,-,중개거래,서울 마포구
1136,서울특별시 마포구 염리동,164-4,0164,0004,삼부골든타워,32.495,202408,26,"29,700",11,개인,개인,2003,독막로 295,-,중개거래,서울 마포구
