NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19442,강원특별자치도 원주시 우산동,823,823,0,한라비발디2차,84.22,202408,22,"26,900",-,2,개인,개인,2014,봉화로 231,-,중개거래,강원 원주시,-
19443,강원특별자치도 원주시 태장동,129,129,0,태장동성호아파트,59.94,202408,22,"7,300",101,4,개인,개인,1998,치악로 2047,-,중개거래,강원 원주시,2024.8.30
19444,충청북도 음성군 감곡면 오향리,568,568,0,덕일한마음,59.97,202408,22,"11,200",102,11,개인,개인,2003,음성로 2650-22,-,중개거래,충북 음성군,2024.9.5
19445,충청북도 음성군 삼성면 덕정리,824,824,0,한빛,43.075,202408,22,"5,200",-,8,개인,개인,1997,대성로 519-1,-,중개거래,충북 음성군,2024.8.29
19446,충청북도 음성군 삼성면 덕정리,824,824,0,한빛,43.075,202408,22,"5,200",-,2,개인,개인,1997,대성로 519-1,-,중개거래,충북 음성군,2024.8.29
19447,충청북도 음성군 삼성면 덕정리,824,824,0,한빛,43.075,202408,22,"5,100",-,5,개인,개인,1997,대성로 519-1,-,직거래,-,2024.8.23
19448,강원특별자치도 원주시 관설동,1713-2,1713,2,청솔8차,59.85,202408,22,"11,600",-,2,개인,개인,2002,나비허리길 188,20240822,중개거래,강원 원주시,-
19449,강원특별자치도 원주시 관설동,1713-2,1713,2,청솔8차,59.85,202408,22,"11,600",804,2,개인,개인,2002,나비허리길 188,-,중개거래,강원 원주시,2024.8.28
19450,경기도 가평군 가평읍 읍내리,766-3,766,3,가평블루핀,63.1818,202408,22,"17,700",102동,2,개인,개인,2019,가화로 219,-,중개거래,경기 가평군,2024.9.11
19451,강원특별자치도 원주시 지정면 가곡리,1493,1493,0,원주기업도시라온프라이빗,84.7303,202408,22,"30,400",-,6,개인,개인,2018,가곡로 132,-,중개거래,강원 원주시,-
19452,충청북도 진천군 진천읍 성석리,980,980,0,지안스로가2단지,84.9849,202408,22,"25,300",-,9,개인,개인,2017,대촌길 33-15,-,중개거래,충북 진천군,-
19453,충청북도 진천군 진천읍 성석리,980,980,0,지안스로가2단지,59.9898,202408,22,"18,500",-,11,개인,개인,2017,대촌길 33-15,-,중개거래,충북 진천군,-
19454,충청북도 진천군 진천읍 성석리,976,976,0,진천우림필유,59.9898,202408,22,"17,300",-,6,개인,개인,2016,대촌1길 16,-,중개거래,충북 진천군,-
19455,경기도 연천군 전곡읍 전곡리,684,684,0,전곡예일세띠앙,66.604,202408,22,"15,000",-,16,개인,개인,2006,전곡로 24,-,중개거래,경기 연천군,-
19456,충청북도 증평군 증평읍 용강리,35,35,0,서호이타운,28.51,202408,22,"2,000",101,2,개인,법인,2001,광장로 534,-,직거래,-,2024.8.23
19457,충청북도 증평군 증평읍 용강리,35,35,0,서호이타운,28.51,202408,22,"2,000",101,13,개인,법인,2001,광장로 534,-,직거래,-,2024.8.23
19458,충청북도 증평군 증평읍 미암리,1073,1073,0,증평코아루휴티스,81.2323,202408,22,"29,000",-,10,개인,개인,2021,미암로 59,-,중개거래,충북 증평군,-
19459,강원특별자치도 강릉시 내곡동,756,756,0,석미모닝파크,70.48,202408,22,"19,000",-,6,개인,개인,2008,남산초교길11번길 12-5,-,중개거래,강원 강릉시,-
19460,전북특별자치도 완주군 봉동읍 장기리,288,288,0,아람파크맨션,59.4,202408,22,"4,200",-,4,개인,개인,1995,봉동동서로 85-5,-,직거래,-,2024.8.22
19461,충청북도 보은군 보은읍 이평리,168-1,168,1,두진하트리움,59.989,202408,22,"16,700",-,7,개인,개인,2016,뱃들로 55-6,-,중개거래,충북 보은군,-
19462,충청북도 제천시 천남동,493,493,0,신원아침도시더퍼스트,59.9884,202408,22,"23,700",-,16,개인,개인,2020,원뜰로 25,-,중개거래,충북 제천시,-
19463,충청북도 제천시 천남동,9월 10일,9,10,코아루,84.8856,202408,22,"27,700",-,6,개인,개인,2005,원뜰로 14,-,중개거래,충북 제천시,-
19464,충청북도 제천시 강제동,844,844,0,제천강저롯데캐슬프리미어,66.9097,202408,22,"26,000",-,3,개인,개인,2017,청풍호로10길 53,-,중개거래,충북 제천시,-
19465,강원특별자치도 강릉시 유천동,781,781,0,강릉유천유승한내들더퍼스트,96.3359,202408,22,"62,500",-,21,개인,개인,2021,선수촌로 79-14,-,중개거래,강원 강릉시,-
19466,강원특별자치도 강릉시 유천동,781,781,0,강릉유천유승한내들더퍼스트,84.2785,202408,22,"54,700",-,36,개인,개인,2021,선수촌로 79-14,-,중개거래,강원 강릉시,-
19467,강원특별자치도 강릉시 주문진읍 주문리,1586,1586,0,주문진삼부르네상스,75.382,202408,22,"26,000",101동,3,개인,법인,2021,철둑길 45-11,-,중개거래,강원 강릉시,2024.9.2
19468,강원특별자치도 강릉시 주문진읍 교항리,430-1,430,1,유성,49.89,202408,22,"5,900",2,5,개인,개인,1991,매맥이윗길 12-4,-,중개거래,서울 성동구,2024.9.2
19469,강원특별자치도 동해시 효가동,248,248,0,명보2차,59.64,202408,22,"6,500",나,8,개인,개인,1994,효가로 10-2,-,직거래,-,2024.9.4
19470,충청북도 제천시 장락동,637-7,637,7,제천미림청솔,49.77,202408,22,"8,800",-,12,개인,개인,1995,청전대로 211,-,중개거래,충북 제천시,-
19471,강원특별자치도 동해시 동회동,442,442,0,대동3차,59.3575,202408,22,"9,800",-,8,개인,개인,1996,청운1길 29,-,중개거래,강원 동해시,-
19472,강원특별자치도 동해시 북평동,327,327,0,e편한세상동해,84.98,202408,22,"32,300",-,9,개인,개인,2020,단봉길 39,20240912,중개거래,강원 동해시,-
19473,충청북도 제천시 고암동,1142,1142,0,고암두진4차,33,202408,22,"4,100",201,13,개인,개인,2000,용두천로 378,-,중개거래,충북 제천시,2024.8.26
19474,충청북도 제천시 신월동,1414,1414,0,부영사랑으로,84.8902,202408,22,"21,300",-,9,개인,개인,2006,대학로12길 8,-,중개거래,충북 제천시,-
