NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
4916,경기도 부천시 원미구 중동,1080-1,1080,0001,리치타운 오피스텔,월세,63.83,202408,29,500,60,6,2010,325,202409~202509,신규,-,,
4917,서울특별시 서대문구 창천동,503-21,0503,0021,LK타운,전세,34.62,202408,29,"30,000",0,5,2020,신촌로3가길 12,202410~202610,신규,-,,
4918,서울특별시 서대문구 연희동,212-2,0212,0002,연희소프트빌,월세,16.2,202408,29,500,60,6,2001,연희로 60,202408~202508,신규,-,,
4919,인천광역시 서구 청라동,Jan.97,0097,0001,청라시티타워 삼정그린코아 더시티,전세,20.29,202408,29,"6,900",0,13,2022,청라한내로72번길 7,202410~202610,신규,-,,
4920,인천광역시 서구 청라동,Jan.97,0097,0001,청라시티타워 삼정그린코아 더시티,전세,20.29,202408,29,"7,000",0,15,2022,청라한내로72번길 7,202410~202610,신규,-,,
4921,인천광역시 서구 청라동,Mar.96,0096,0003,현대썬앤빌 더 테라스 레이크,월세,21.85,202408,29,100,50,14,2020,청라한내로100번길 8-16,202408~202502,신규,-,,
4922,인천광역시 연수구 연수동,593-11,0593,0011,이레하이니스,전세,70.32,202408,29,"17,000",0,2,2017, ,202409~202609,신규,-,,
4923,경기도 성남시 수정구 신흥동,2487,2487,0000,더그린시티,월세,65.18,202408,29,"3,000",130,13,2024,산성대로283번길 6-10,202408~202508,신규,-,,
4924,인천광역시 중구 운서동,Jul.87,3087,0007,영종 듀클래스 운서역,전세,19.93,202408,29,"12,000",0,10,2024,영종대로 178,202409~202609,신규,-,,
4925,경기도 안산시 단원구 고잔동,724,0724,0000,골든빌,월세,30.42,202408,29,500,48,4,2004,광덕대로 206,202409~202509,신규,-,,
4926,경기도 고양시 일산동구 백석동,1320,1320,0000,백석역동문굿모닝힐II,전세,28.55,202408,29,"10,000",0,10,2004,호수로 340-25,202410~202610,신규,-,,
4927,서울특별시 송파구 삼전동,49,0049,0000,트리엘플레이스 잠실,전세,22.62,202408,29,"28,000",0,5,2022,백제고분로 218,202409~202609,신규,-,,
4928,경기도 의정부시 호원동,460-13,0460,0013,엘리시아,월세,19.08,202408,29,500,39,3,2018,평화로 184,202409~202509,신규,-,,
4929,인천광역시 중구 운서동,Feb.94,3094,0002,더 예스 포레스트,전세,21.03,202408,29,"11,500",0,8,2022,흰바위로 113,202410~202510,신규,-,,
4930,인천광역시 중구 운서동,Feb.94,3094,0002,더 예스 포레스트,전세,21.03,202408,29,"11,000",0,6,2022,흰바위로 113,202410~202610,신규,-,,
4931,서울특별시 마포구 도화동,559,0559,0000,마포트라팰리스,월세,49.63,202408,29,"2,000",160,7,2006,마포대로 53,202409~202509,신규,-,,
4932,부산광역시 중구 중앙동4가,19,0019,0000,서린엘마르 센트로 뷰,월세,24.6,202408,29,"10,000",7,8,2021,대교로 157,202409~202609,신규,-,,
4933,서울특별시 강서구 염창동,241-11,0241,0011,맥시하우스,전세,15.6,202408,29,"15,000",0,8,2018,양천로63길 8,202410~202610,신규,-,,
4934,서울특별시 강서구 염창동,282-24,0282,0024,하우스B,월세,22.1,202408,29,"5,000",86,8,2022,공항대로 625,202409~202508,신규,-,,
4935,경기도 고양시 덕양구 동산동,367,0367,0000,아이엠 삼송,월세,84.01,202408,29,"44,000",48,8,2020,동송로 23-50,202409~202609,신규,-,,
4936,경기도 의정부시 호원동,460-4,0460,0004,라온힐조,전세,24.52,202408,29,"8,500",0,6,2017,평화로190번길 16,202409~202609,신규,-,,
4937,서울특별시 마포구 도화동,559,0559,0000,마포트라팰리스,전세,106.47,202408,29,"80,000",0,4,2006,마포대로 53,202409~202609,신규,-,,
4938,경기도 부천시 소사구 괴안동,127-6,0127,0006,순영지타워,전세,59.23,202408,29,"26,000",0,5,2019,7,202409~202609,갱신,사용,"26,000",0
4939,제주특별자치도 제주시 이도일동,1251-8,1251,0008,이도 휴안 더 센트럴,월세,30.47,202408,29,500,65,4,2023,돈내길 22,202409~202508,신규,-,,
4940,제주특별자치도 제주시 이도일동,1251-8,1251,0008,이도 휴안 더 센트럴,월세,49.08,202408,29,500,81,5,2023,돈내길 22,202409~202509,신규,-,,
4941,서울특별시 양천구 목동,905-33,0905,0033,스카이포레,전세,18.13,202408,29,"12,000",0,5,2015, ,202409~202509,신규,-,,
4942,서울특별시 양천구 목동,916,0916,0000,현대하이페리온,전세,87.5,202408,29,"90,000",0,17,2003,목동동로 257,202410~202610,갱신,-,"84,000",0
4943,서울특별시 양천구 목동,621-5,0621,0005,목동 트라움시티,월세,27.96,202408,29,"25,900",10,6,2020,등촌로 200,202409~202609,신규,-,,
4944,서울특별시 마포구 동교동,155-27,0155,0027,효성홍익인간오피스텔,전세,32.25,202408,29,"19,000",0,4,2004,양화로 183,202409~202609,신규,-,,
4945,인천광역시 중구 운서동,Jul.93,3093,0007,글래드빌,월세,20,202408,29,500,65,7,2021,흰바위로 103,202409~202509,신규,-,,
4946,인천광역시 중구 운서동,Feb.94,3094,0002,더 예스 포레스트,전세,21.03,202408,29,"11,550",0,6,2022,흰바위로 113,202410~202510,신규,-,,
4947,경기도 부천시 원미구 중동,1152-1,1152,0001,루미아트클래식,전세,75.66,202408,29,"24,750",0,14,2005,195,202408~202411,갱신,-,"29,000",0
4948,서울특별시 강남구 자곡동,658,0658,0000,강남힐스테이트에코,월세,23.75,202408,29,"15,975",8,8,2014,자곡로 202,202409~202609,신규,-,,
4949,서울특별시 강남구 논현동,249-9,0249,0009,아츠 논현,전세,43.14,202408,29,"45,000",0,3,2023,언주로 624,202409~202509,신규,-,,
4950,제주특별자치도 제주시 영평동,Mar.69,2169,0003,엠제이벤처오름,월세,23.32,202408,29,200,48,5,2017,첨단로 199,202409~202509,신규,-,,
4951,경상북도 포항시 남구 대잠동,938,0938,0000,대잠 코아루타워,월세,26.98,202408,29,500,55,3,2018,중섬로 16,202409~202509,신규,-,,
4952,서울특별시 강남구 삼성동,113-4,0113,0004,삼성동 파크엘나인,월세,27.68,202408,29,"1,000",130,2,2021,봉은사로 426,202408~202508,신규,-,,
4953,서울특별시 영등포구 양평동4가,7월 23일,0023,0007,(23-7),전세,25.2,202408,29,"19,200",0,4,2012,선유로47길 19,202410~202610,신규,-,,
4954,경기도 고양시 덕양구 동산동,368,0368,0000,e편한세상 시티 삼송3차,전세,57.92,202408,29,"35,000",0,20,2019,동송로 23-28,202409~202609,신규,-,,
4955,서울특별시 강남구 역삼동,719-24,0719,0024,역삼역센트럴푸르지오시티,월세,17.57,202408,29,"3,700",73,7,2019,언주로85길 32,202409~202509,갱신,-,"3,700",70
4956,부산광역시 사하구 하단동,524-6,0524,0006,라온O/T,월세,22.28,202408,29,"1,000",35,13,2017,낙동남로 1385-3,202409~202508,신규,-,,
4957,부산광역시 사상구 감전동,121-123,0121,0123,세종B클래스,월세,24.17,202408,29,"2,000",30,6,2019,괘감로 96-5,202408~202508,신규,-,,
4958,인천광역시 중구 운서동,Sep.93,3093,0009,메이폴오피스텔,월세,20.53,202408,29,"1,200",25,4,2020,영종대로162번길 37,202409~202509,신규,-,,
4959,서울특별시 영등포구 양평동2가,43-14,0043,0014,CO-OP Residence/오목교,전세,16.98,202408,29,"7,500",0,4,2004,영등포로3길 23,202409~202609,신규,-,,
4960,제주특별자치도 제주시 연동,261-23,0261,0023,제주연동 하우스디어반,월세,39.22,202408,29,418,78,4,2020,삼무로 18,202409~202609,신규,-,,
4961,제주특별자치도 제주시 연동,261-23,0261,0023,제주연동 하우스디어반,월세,39.22,202408,29,418,78,12,2020,삼무로 18,202409~202609,신규,-,,
4962,제주특별자치도 제주시 연동,303-35,0303,0035,하늘그린오피스텔,월세,58.13,202408,29,500,67,4,2019,선덕로 1,202408~202508,갱신,-,500,64
4963,제주특별자치도 제주시 연동,303-35,0303,0035,하늘그린오피스텔,월세,58.13,202408,29,500,75,8,2019,선덕로 1,202409~202508,신규,-,,
4964,제주특별자치도 제주시 연동,1494,1494,0000,신제주 연동 트리플시티,월세,84.76,202408,29,"2,000",160,8,2021,연북로 106,202408~202508,신규,-,,
4965,서울특별시 양천구 신정동,318-6,0318,0006,동문비젼오피스텔,월세,41.4,202408,29,"1,000",80,8,1999,목동서로 287,202409~202509,신규,-,,
4966,강원특별자치도 원주시 반곡동,1897-4,1897,0004,코아루시티,월세,22.48,202408,29,300,40,3,2016,양지로 58,202409~202509,신규,-,,
4967,강원특별자치도 원주시 반곡동,1886-3,1886,0003,골든스퀘어2차,전세,29.64,202408,29,"8,000",0,6,2016,혁신로 61,202409~202609,신규,-,,
4968,서울특별시 마포구 상암동,1748,1748,0000,상암 오벨리스크 2차,월세,25.48,202408,29,"1,000",75,9,2014, ,202410~202510,신규,-,,
4969,서울특별시 마포구 상암동,1734,1734,0000,상암 한화 오벨리스크,월세,19.93,202408,29,500,61,5,2013,구룡길 19,202408~202508,신규,-,,
4970,서울특별시 마포구 상암동,1734,1734,0000,상암 한화 오벨리스크,월세,19.93,202408,29,500,65,9,2013,구룡길 19,202408~202508,신규,-,,
4971,인천광역시 중구 운서동,Jan.98,3098,0001,지엘플렉스1,전세,21.48,202408,29,"7,400",0,4,2018,영종대로196번길 19,202410~202610,신규,-,,
