,NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
144,145,대전광역시 유성구 관평동,940,940,0,DTVan-S,32.235,202409,9,"10,500",15,개인,개인,2018.0,테크노중앙로 50,-,중개거래,대전 유성구
145,146,대전광역시 유성구 봉명동,549-1,549,1,사이언스타운 주상복합,33.4598,202409,9,"7,900",4,개인,개인,2013.0,온천로 60,-,중개거래,대전 유성구
146,147,서울특별시 성동구 성수동1가,685-308,685,308,아트빌딩,26.9,202409,9,"19,000",5,법인,법인,2003.0,서울숲길 45,-,중개거래,서울 성동구
147,148,경기도 안산시 단원구 초지동,744,744,0,위너스 오션파크,21.6019,202409,9,"9,500",10,법인,개인,2019.0,원포공원2로 6,-,중개거래,경기 안산시 단원구
148,149,광주광역시 동구 수기동,2월 23일,23,2,(23-2),30.14,202409,9,"3,200",12,개인,개인,1996.0,천변우로 339,-,직거래,-
149,150,인천광역시 서구 청라동,153-3,153,3,크리스탈뷰 2차,25.2221,202409,9,"9,900",4,개인,개인,2019.0,크리스탈로74번길 17,-,직거래,-
150,151,인천광역시 부평구 산곡동,Feb.91,91,2,부평 IPARK,56.89,202409,9,"25,000",30,개인,개인,2020.0,길주로364번길 9,-,중개거래,인천 부평구
151,152,인천광역시 부평구 부평동,431-22,431,22,씨티원,59.43,202409,9,"20,000",4,개인,개인,2016.0,부평대로 124,-,직거래,-
152,153,경기도 남양주시 다산동,6058,6058,0,다산 헤리움 그랑비스타 2차,20.3432,202409,9,"11,950",6,개인,개인,2019.0,다산중앙로123번길 22-30,-,중개거래,경기 남양주시
153,154,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,29.2598,202409,9,"26,000",16,개인,개인,2023.0,상계로 32,-,중개거래,서울 노원구
154,155,서울특별시 은평구 진관동,73,73,0,웅신 미켈란의 아침,19.06,202409,9,"11,450",3,개인,개인,2017.0,진관2로 15-8,-,중개거래,서울 은평구
155,156,경기도 남양주시 진접읍 금곡리,1083-1,1083,1,해밀리움,15.9,202409,9,"9,000",7,개인,개인,2019.0,해밀예당1로 50-31,-,중개거래,경기 남양주시
156,157,인천광역시 남동구 간석동,216-11,216,11,도시에 창,26.325,202409,9,"7,170",11,개인,개인,2006.0,백범로 404,-,중개거래,인천 남동구
157,158,인천광역시 남동구 간석동,240-1,240,1,아트폴리스,63.03,202409,9,"12,000",10,개인,개인,2007.0,백범로 399,-,중개거래,인천 남동구
158,159,인천광역시 남동구 간석동,240-1,240,1,아트폴리스,63.69,202409,9,"12,000",15,개인,기타,2007.0,백범로 399,-,중개거래,"서울 구로구, 인천 남동구"
159,160,인천광역시 남동구 간석동,240-1,240,1,아트폴리스,63.69,202409,9,"12,000",15,개인,기타,2007.0,백범로 399,20240911,중개거래,인천 남동구
160,161,제주특별자치도 서귀포시 신효동,112-5,112,5,휴다온,71.34,202409,9,"19,000",4,개인,개인,2017.0,효돈로 153,-,직거래,-
161,162,경기도 시흥시 정왕동,1622-1,1622,1,시화굿모닝빌(정왕대로 72),22.09,202409,9,"6,000",7,개인,개인,2003.0,정왕대로 342,-,중개거래,경기 시흥시
162,163,인천광역시 연수구 송도동,149,149,0,롯데캐슬 캠퍼스타운,26.3193,202409,9,"14,000",10,법인,개인,2016.0,송도과학로27번길 55,-,중개거래,인천 연수구
163,164,서울특별시 마포구 성산동,590-4,590,4,KCC상암스튜디오380,20.35,202409,9,"14,800",10,개인,개인,2014.0, ,-,중개거래,서울 강남구
164,165,부산광역시 사상구 감전동,116-7,116,7,삼주오피스텔,33.399,202409,9,"3,300",3,개인,개인,1990.0,괘감로 131,-,직거래,-
165,166,경기도 부천시 원미구 중동,1160-1,1160,1,대우마이빌 센트럴파크,35.68,202409,9,"15,300",13,개인,개인,2004.0,139,-,중개거래,경기 부천시 원미구
166,167,경기도 하남시 망월동,1146-1,1146,1,하남미사 롯데캐슬 헤븐시티 Ⅰ,21.8386,202409,9,"14,000",7,개인,개인,2020.0,미사강변한강로 279,-,직거래,-
167,168,경상남도 창원시 성산구 상남동,6월 19일,19,6,대암빌딩,33.5,202409,9,"3,500",7,개인,개인,2003.0,마디미동로 35,-,직거래,-
168,169,경기도 이천시 관고동,4월 11일,4,11,1동,84.2,202409,9,"16,000",6,개인,개인,2015.0,설봉로 70-16,-,중개거래,경기 이천시
169,170,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",20,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
170,171,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,510",20,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
171,172,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"15,510",20,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
172,173,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",20,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
173,174,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"15,510",20,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
174,175,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,010",2,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
175,176,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,010",2,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
176,177,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,010",2,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
177,178,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,010",2,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
178,179,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,010",2,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
179,180,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,010",3,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
180,181,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,010",3,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
181,182,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"14,010",2,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
182,183,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,010",3,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
183,184,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,010",3,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
184,185,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"14,010",3,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
185,186,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,010",3,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
186,187,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"14,010",3,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
187,188,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,210",4,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
188,189,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,210",4,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
189,190,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,210",4,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
190,191,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,210",4,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
191,192,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"14,210",4,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
192,193,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,210",4,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
193,194,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"14,210",4,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
194,195,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,210",5,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
195,196,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,210",5,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
196,197,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,210",5,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
197,198,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,210",5,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
198,199,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"14,210",5,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
199,200,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,210",5,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
200,201,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"14,210",5,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
201,202,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,410",6,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
202,203,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,410",6,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
203,204,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,410",6,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
204,205,충청남도 아산시 배방읍 장재리,1739,1739,0,천안아산역 더리브,84.92,202409,9,"31,500",29,개인,개인,2021.0,연화로 99,-,중개거래,충남 천안시 서북구
205,206,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"14,410",6,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
206,207,충청남도 아산시 배방읍 장재리,1767,1767,0,요진 와이시티,45.605,202409,9,"10,700",3,개인,개인,2011.0,광장로 210,-,중개거래,충남 아산시
207,208,울산광역시 울주군 삼남읍 신화리,1605-3,1605,3,울산역 신한디아채시티,18.29,202409,9,"5,500",6,개인,개인,2019.0, 30-24,-,직거래,-
208,209,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"14,410",6,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
209,210,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,410",6,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
210,211,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"14,410",6,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
211,212,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,410",7,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
212,213,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"14,410",7,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
